,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,greece,1000000,1000,2020-01-01,2020-12-31,hybrid,927650.0,11932.0,630107,45.233,0.02605,1.889,20.0,16.005,20.002,720870,1564280,4520556,10000976,16806682,720870,1564280,10000976,4520556,1.0177662
1,greece,1000000,1000,2020-01-01,2020-12-31,hybrid,944243.0,12301.0,718163,45.215,0.02983,1.886,19.998,16.001,20.0,719343,1569417,4522840,10000118,16811718,719343,1569417,10000118,4522840,1.0178295
2,greece,1000000,1000,2020-01-01,2020-12-31,hybrid,891745.0,11459.0,638698,45.247,0.0212,1.89,19.99,16.002,19.997,721495,1562350,4524630,9998662,16807137,721495,1562350,9998662,4524630,1.0179931
3,greece,1000000,1000,2020-01-01,2020-12-31,hybrid,942486.0,11952.0,811248,45.234,0.02948,1.888,20.012,16.0,19.992,719621,1568186,4521517,9996193,16805517,719621,1568186,9996193,4521517,1.0180223
4,greece,1000000,1000,2020-01-01,2020-12-31,hybrid,957750.0,12472.0,702265,45.237,0.03447,1.888,20.008,16.001,20.004,720930,1570035,4522077,10002028,16815070,720930,1570035,10002028,4522077,1.0178689
5,greece,1000000,1000,2020-01-01,2020-12-31,hybrid,927900.0,11939.0,311394,45.211,0.02593,1.889,20.013,16.003,20.01,720337,1572891,4518001,10005155,16816384,720337,1572891,10005155,4518001,1.0175437
6,greece,1000000,1000,2020-01-01,2020-12-31,hybrid,953969.0,12409.0,66807,45.25,0.03288,1.886,19.979,15.999,20.002,719895,1564074,4522729,10000874,16807572,719895,1564074,10000874,4522729,1.0179341
7,greece,1000000,1000,2020-01-01,2020-12-31,hybrid,867122.0,10662.0,408361,45.238,0.01924,1.89,19.974,16.001,20.0,720941,1568705,4513892,9999893,16803431,720941,1568705,9999893,4513892,1.0179571
8,greece,1000000,1000,2020-01-01,2020-12-31,hybrid,944763.0,12157.0,124457,45.204,0.03007,1.89,19.982,15.994,19.997,721240,1567286,4519706,9998378,16806610,721240,1567286,9998378,4519706,1.0176386
9,greece,1000000,1000,2020-01-01,2020-12-31,hybrid,953566.0,12329.0,628544,45.228,0.03293,1.887,20.005,16.005,19.999,719817,1562675,4528435,9999487,16810414,719817,1562675,9999487,4528435,1.0177503
10,greece,1000000,1000,2020-01-01,2020-12-31,hybrid,939886.0,11967.0,540463,45.21,0.02871,1.888,19.984,15.995,19.997,720151,1565168,4522409,9998468,16806196,720151,1565168,9998468,4522409,1.0174924
11,greece,1000000,1000,2020-01-01,2020-12-31,hybrid,926380.0,11950.0,389111,45.236,0.02587,1.89,20.002,16.001,20.003,720720,1561893,4521564,10001268,16805445,720720,1561893,10001268,4521564,1.0179621
12,greece,1000000,1000,2020-01-01,2020-12-31,hybrid,936345.0,12170.0,856959,45.24,0.0279,1.892,20.001,15.998,20.0,722399,1569130,4520152,9999788,16811469,722399,1569130,9999788,4520152,1.017996
13,greece,1000000,1000,2020-01-01,2020-12-31,hybrid,950470.0,12366.0,954629,45.209,0.03164,1.89,19.98,15.996,19.997,720422,1569983,4515692,9998688,16804785,720422,1569983,9998688,4515692,1.0177033
14,greece,1000000,1000,2020-01-01,2020-12-31,hybrid,946286.0,12123.0,282863,45.208,0.03053,1.885,19.994,15.998,20.007,719290,1565034,4520245,10003609,16808178,719290,1565034,10003609,4520245,1.0176302
15,greece,1000000,1000,2020-01-01,2020-12-31,hybrid,924548.0,11942.0,620998,45.257,0.02562,1.886,20.005,16.001,20.004,719327,1564874,4516533,10002005,16802739,719327,1564874,10002005,4516533,1.0180397
16,greece,1000000,1000,2020-01-01,2020-12-31,hybrid,913831.0,11642.0,524611,45.28,0.02385,1.888,20.012,15.991,19.999,719868,1568716,4515209,9999539,16803332,719868,1568716,9999539,4515209,1.0182145
17,greece,1000000,1000,2020-01-01,2020-12-31,hybrid,944043.0,12161.0,119843,45.245,0.02974,1.885,20.004,16.003,20.004,718783,1564617,4527347,10002081,16812828,718783,1564617,10002081,4527347,1.0180608
18,greece,1000000,1000,2020-01-01,2020-12-31,hybrid,944526.0,12093.0,106349,45.214,0.02996,1.886,20.009,16.001,20.009,719210,1568259,4518458,10004443,16810370,719210,1568259,10004443,4518458,1.0177687
19,greece,1000000,1000,2020-01-01,2020-12-31,hybrid,942404.0,12273.0,991080,45.186,0.02933,1.884,19.996,16.003,19.999,718557,1573393,4519203,9999424,16810577,718557,1573393,9999424,4519203,1.0171363
20,greece,1000000,1000,2020-01-01,2020-12-31,hybrid,921797.0,11806.0,906743,45.213,0.02492,1.887,19.992,15.999,19.997,719631,1564265,4524316,9998469,16806681,719631,1564265,9998469,4524316,1.0177534
21,greece,1000000,1000,2020-01-01,2020-12-31,hybrid,941990.0,12033.0,289874,45.22,0.0292,1.884,19.995,15.996,20.006,719186,1568893,4520662,10003213,16811954,719186,1568893,10003213,4520662,1.0177826
22,greece,1000000,1000,2020-01-01,2020-12-31,hybrid,904504.0,11671.0,494832,45.247,0.02268,1.886,19.998,16.005,20.002,719710,1568311,4527018,10001051,16816090,719710,1568311,10001051,4527018,1.0179563
23,greece,1000000,1000,2020-01-01,2020-12-31,hybrid,944686.0,12184.0,931212,45.246,0.02998,1.892,20.023,15.997,20.003,722171,1566669,4520181,10001704,16810725,722171,1566669,10001704,4520181,1.0180295
24,greece,1000000,1000,2020-01-01,2020-12-31,hybrid,891714.0,11173.0,44226,45.21,0.0212,1.884,20.02,16.001,19.997,718619,1574174,4522568,9998656,16814017,718619,1574174,9998656,4522568,1.0175431
25,greece,1000000,1000,2020-01-01,2020-12-31,hybrid,943243.0,11997.0,59264,45.217,0.02966,1.883,20.004,16.001,20.001,718425,1567581,4527337,10000656,16813999,718425,1567581,10000656,4527337,1.017668
26,greece,1000000,1000,2020-01-01,2020-12-31,hybrid,942011.0,12098.0,389288,45.182,0.02939,1.887,19.995,15.988,20.003,718629,1570539,4514028,10001617,16804813,718629,1570539,10001617,4514028,1.0172158
27,greece,1000000,1000,2020-01-01,2020-12-31,hybrid,954320.0,12347.0,401305,45.224,0.03309,1.887,20.009,16.005,19.999,719633,1569078,4516831,9999708,16805250,719633,1569078,9999708,4516831,1.017661
28,greece,1000000,1000,2020-01-01,2020-12-31,hybrid,946399.0,12332.0,451854,45.279,0.03041,1.887,20.001,16.002,19.994,720857,1563737,4519090,9996956,16800640,720857,1563737,9996956,4519090,1.018352
29,greece,1000000,1000,2020-01-01,2020-12-31,hybrid,933484.0,12004.0,496017,45.198,0.02721,1.888,19.974,16.004,19.993,720464,1567748,4523328,9996546,16808086,720464,1567748,9996546,4523328,1.0174552
